n,t_symbolic,t_true,delta_t_original,delta_t_corrected,abs_delta_corrected,correction_1,correction_2,correction_3,correction_4,correction_5,correction_6,correction_7,correction_8,correction_9
3563,5764.937262529354,1368.4805191684293,4396.4567433609245,-35776.314609532565,35776.314609532565,-102.05982977780776,9193.792275703367,11798.963946830301,8451.683033014297,2848.6087154969964,2160.9431342216008,4112.994648870206,387.5662824145064,1320.2791461200238
3564,5766.555280643569,1368.8176859802734,4397.737594663296,-35775.02623661814,35775.02623661814,-102.06490577295854,9193.792794753423,11798.963942769007,8451.681797849755,2848.610868406482,2160.941029924859,4112.995792146837,387.5644591549017,1320.278052049135
3565,5768.173298820219,1369.1548428343433,4399.018455985876,-35773.737855790525,35773.737855790525,-102.06998034407087,9193.793313657838,11798.963938708672,8451.68056303122,2848.613020711708,2160.9389262181394,4112.996935101742,387.56263640666975,1320.276958284484
3566,5769.791317059262,1369.4919897340055,4400.299327325256,-35772.44946705195,35772.44946705195,-102.07505349192503,9193.793832416693,11798.963934649299,8451.679328558497,2848.6151724130136,2160.9368231011067,4112.998077735104,387.56081416952037,1320.2758648258975
3567,5771.409335360653,1369.829126682624,4401.5802086780295,-35771.161070404625,35771.161070404625,-102.08012521733964,9193.794351030068,11798.963930590884,8451.678094431396,2848.6173235107367,2160.9347205734375,4112.999220047102,387.5589924431689,1320.2747716732058
3568,5773.027353724348,1370.1662536835609,4402.861100040787,-35769.8726658508,35769.8726658508,-102.08519552110776,9193.794869498046,11798.963926533428,8451.676860649723,2848.619474005217,2160.9326186347953,4113.000362037918,387.55717122732926,1320.2736788262366
3569,5774.645372150307,1370.5033707401765,4404.14200141013,-35768.58425339269,35768.58425339269,-102.09026440400967,9193.79538782071,11798.963922476933,8451.67562721328,2848.621623896792,2160.930517284854,4113.001503707733,387.55535052171393,1320.2725862848188
3570,5776.263390638482,1370.8404778558283,4405.422912782653,-35767.29583303251,35767.29583303251,-102.09533186686397,9193.795905998139,11798.963918421392,8451.674394121877,2848.6237731857996,2160.9284165232825,4113.002645056725,387.5535303260383,1320.2714940487817
3571,5777.881409188832,1371.1775750338727,4406.703834154959,-35766.00740477251,35766.00740477251,-102.10039791045094,9193.796424030414,11798.96391436681,8451.673161375322,2848.6259218725772,2160.9263163497494,4113.003786085073,387.5517106400162,1320.2704021179547
3572,5779.499427801313,1371.514662277663,4407.98476552365,-35764.71896861488,35764.71896861488,-102.10546253557642,9193.796941917619,11798.963910313185,8451.67192897342,2848.6280699574613,2160.924216763927,4113.004926792961,387.54989146336294,1320.2693104921664
3573,5781.1174464758815,1371.8517395905508,4409.2657068853305,-35763.430524561845,35763.430524561845,-102.11052574303345,9193.797459659832,11798.963906260518,8451.670696915979,2848.630217440791,2160.9221177654886,4113.006067180565,387.5480727957925,1320.268219171247
3574,5782.735465212494,1372.1888069758854,4410.546658236609,-35762.14207261565,35762.14207261565,-102.11558753360231,9193.797977257136,11798.963902208805,8451.669465202805,2848.632364322902,2160.920019354103,4113.007207248065,387.54625463702007,1320.267128155025
3575,5784.353484011108,1372.5258644370151,4411.827619574093,-35760.8536127785,35760.8536127785,-102.12064790808884,9193.798494709614,11798.963898158047,8451.66823383371,2848.6345106041304,2160.917921529441,4113.008346995643,387.54443698676107,1320.266037443331
3576,5785.97150287168,1372.862911977285,4413.108590894395,-35759.565145052606,35759.565145052606,-102.12570686727328,9193.799012017344,11798.963894108247,8451.667002808494,2848.6366562848134,2160.9158242911776,4113.009486423474,387.5426198447307,1320.264947035995
3577,5787.589521794165,1373.199949600038,4414.389572194127,-35758.276669440194,35758.276669440194,-102.13076441196151,9193.799529180405,11798.963890059398,8451.665772126973,2848.6388013652854,2160.913727638981,4113.010625531741,387.540803210647,1320.263856932846
3578,5789.207540778521,1373.5369773086156,4415.670563469906,-35756.98818594347,35756.98818594347,-102.13582054293376,9193.800046198883,11798.963886011505,8451.664541788949,2848.6409458458834,2160.9116315725273,4113.011764320622,387.53898708422264,1320.2627671337148
3579,5790.825559824705,1373.8739951063574,4416.951564718348,-35755.69969456464,35755.69969456464,-102.14087526099587,9193.800563072857,11798.963881964566,8451.663311794231,2848.643089726942,2160.909536091488,4113.012902790295,387.5371714651769,1320.2616776384314
3580,5792.443578932673,1374.2110029966,4418.232575936073,-35754.41119530595,35754.41119530595,-102.14592856691533,9193.801079802404,11798.963877918579,8451.662082142631,2848.645233008797,2160.9074411955344,4113.014040940938,387.53535635322515,1320.2605884468267
3581,5794.06159810238,1374.5480009826783,4419.513597119701,-35753.12268816959,35753.12268816959,-102.15098046148519,9193.801596387611,11798.963873873545,8451.660852833955,2848.6473756917817,2160.9053468843426,4113.015178772731,387.533541748084,1320.259499558731
3582,5795.679617333785,1374.884989067926,4420.7946282658595,-35751.83417315778,35751.83417315778,-102.15603094549847,9193.802112828556,11798.963869829464,8451.659623868012,2848.649517776232,2160.9032531575845,4113.01631628585,387.5317276494702,1320.2584109739753
3583,5797.297636626846,1375.2219672556732,4422.075669371173,-35750.54565027271,35750.54565027271,-102.16108001976107,9193.802629125319,11798.963865786332,8451.658395244609,2848.6516592624816,2160.901160014935,4113.0174534804755,387.5299140571031,1320.2573226923898
3584,5798.915655981516,1375.5589355492496,4423.356720432266,-35749.25711951662,35749.25711951662,-102.16612768502762,9193.803145277978,11798.963861744154,8451.657166963558,2848.6538001508648,2160.899067456067,4113.018590356786,387.52810097069664,1320.256234713806
3585,5800.533675397753,1375.895893951981,4424.637781445772,-35747.968580891684,35747.968580891684,-102.17117394210398,9193.803661286618,11798.963857702925,8451.655939024666,2848.655940441715,2160.896975480653,4113.019726914958,387.5262883899716,1320.2551470380547
3586,5802.151694875514,1376.2328424671928,4425.918852408322,-35746.68003440014,35746.68003440014,-102.17621879175762,9193.804177151318,11798.963853662646,8451.654711427744,2848.658080135365,2160.8948840883722,4113.020863155169,387.5244763146433,1320.2540596649671
3587,5803.769714414756,1376.5697810982072,4427.199933316549,-35745.39148004417,35745.39148004417,-102.18126223480716,9193.804692872156,11798.963849623318,8451.6534841726,2848.660219232149,2160.8927932788984,4113.021999077596,387.5226647444326,1320.2529725943753
3588,5805.387734015436,1376.9067098483454,4428.48102416709,-35744.102917826,35744.102917826,-102.18630427199453,9193.805208449216,11798.96384558494,8451.652257259044,2848.6623577323985,2160.890703051902,4113.0231346824185,387.5208536790574,1320.25188582611
3589,5807.005753677509,1377.2436287209252,4429.762124956584,-35742.81434774781,35742.81434774781,-102.19134490413832,9193.805723882571,11798.96384154751,8451.651030686886,2848.6644956364476,2160.888613407066,4113.024269969812,387.5190431182345,1320.2507993600038
3590,5808.6237734009355,1377.5805377192635,4431.043235681672,-35741.52576981181,35741.52576981181,-102.19638413200602,9193.80623917231,11798.963837511026,8451.649804455936,2848.6666329446275,2160.886524344059,4113.025404939955,387.5172330616845,1320.2497131958876
3591,5810.241793185668,1377.9174368466747,4432.324356338993,-35740.2371840202,35740.2371840202,-102.20142195637786,9193.806754318508,11798.963833475493,8451.648578566002,2848.66876965727,2160.8844358625615,4113.026539593024,387.5154235091271,1320.248627333594
3592,5811.859813031666,1378.2543261064714,4433.605486925195,-35738.9485903752,35738.9485903752,-102.20645837804695,9193.807269321247,11798.963829440907,8451.647353016899,2848.6709057747084,2160.8823479622492,4113.027673929195,387.5136144602788,1320.247541772955
3593,5813.4778329388855,1378.5912055019637,4434.886627436922,-35737.65998887898,35737.65998887898,-102.2114933977807,9193.807784180606,11798.963825407267,8451.646127808432,2848.673041297272,2160.8802606427953,4113.028807948645,387.51180591486184,1320.246456513802
3594,5815.095852907282,1378.9280750364599,4436.167777870823,-35736.37137953376,35736.37137953376,-102.21652701635941,9193.808298896663,11798.963821374571,8451.644902940414,2848.6751762252934,2160.8781739038814,4113.029941651552,387.5099978725969,1320.245371555969
3595,5816.7138729368135,1379.2649347132663,4437.448938223547,-35735.08276234172,35735.08276234172,-102.2215592345761,9193.8088134695,11798.963817342823,8451.643678412656,2848.677310559103,2160.8760877451837,4113.03107503809,387.50819033320073,1320.244286899288
3596,5818.331893027437,1379.6017845356869,4438.730108491751,-35733.79413730506,35733.79413730506,-102.2265900531983,9193.809327899198,11798.963813312022,8451.642454224968,2848.6794442990317,2160.8740021663752,4113.032208108438,387.50638329639554,1320.2432025435905
3597,5819.949913179111,1379.9386245070243,4440.011288672086,-35732.50550442599,35732.50550442599,-102.2316194730062,9193.809842185834,11798.963809282164,8451.641230377163,2848.6815774454094,2160.8719171671373,4113.033340862769,387.50457676190206,1320.2421184887107
3598,5821.567933391789,1380.2754546305785,4441.29247876121,-35731.2168637067,35731.2168637067,-102.23664749478009,9193.810356329486,11798.96380525325,8451.64000686905,2848.683709998566,2160.8698327471466,4113.034473301263,387.5027707294411,1320.2410347344817
3599,5823.185953665429,1380.612274909647,4442.573678755782,-35729.928215149346,35729.928215149346,-102.24167411930024,9193.810870330237,11798.96380122528,8451.63878370044,2848.6858419588325,2160.8677489060833,4113.035605424092,387.5009651987335,1320.2399512807349
3600,5824.8039739999895,1380.949085347527,4443.854888652462,-35728.63955875618,35728.63955875618,-102.24669934733409,9193.811384188164,11798.963797198257,8451.637560871148,2848.6879733265364,2160.8656656436237,4113.036737231433,387.4991601695,1320.2388681273048
3601,5826.421994395426,1381.2858859475114,4445.136108447914,-35727.35089452933,35727.35089452933,-102.25172317966194,9193.811897903348,11798.963793172174,8451.636338380982,2848.690104102009,2160.863582959447,4113.0378687234615,387.4973556414614,1320.237785274025
